company_id,amount,site,representative_id,foundation_date,description,name
10,30,http://www.ontico.ru/,234,2008-01-01,"Команда «Онтико» создаёт пространства для обмена опытом между профессионалами — мы проводим лучшие в России (и одни из лучших в мире) профессиональные конференции для IT-разработчиков.—HighLoad++ (3000 участников, 40 экспонентов, 16 параллельных треков), TeamLead Conf, DevOps Сonf, PHP Russia, и много других.


Нашей главной ценностью является выдающийся опыт участников наших конференций — разработчиков, тимлидов, техлидов, технических директоров, собственников ИТ-компаний — всех тех, кто сегодня делает цифровую экономику.


Мы достигаем это через предоставление новейшего актуального контента, высочайшего качества организации, огромного количества разнообразных активностей на конференции, чтобы каждый участник наших событий получил знания в соответствии с индивидуальным запросом и заряд энергии для получения максимальной пользы и создания собственных результатов.",Конференции Олега Бунина (Онтико)
11,500,https://www.tutu.ru/,702,2003-09-05,"Tutu.ru (Туту.ру) — сервис путешествий №1 в России (данные кросс-медийной панели GfK Rus, дек. 2018), где можно купить билеты на поезда, самолеты и автобусы, посмотреть расписание пригородных поездов, найти туристические путевки, забронировать отели и экскурсии. Туту.ру работает с середины 2003 года и насчитывает ежедневную аудиторию посетителей сайта в 800−850 тысяч человек. По данным SimilarWeb на январь 2017 года, Туту.ру входит в топ-50 самых популярных сайтов в мире в категории Travel.",Туту.ру
12,30,https://flipperzero.one,530,2020-07-14,"Мы — команда инженеров и гиков с профессиональным опытом в промышленном дизайне и производстве электроники. Делаем функциональные и забавные устройства для таких же как мы.


Сейчас наш главный продукт — Flipper Zero, швейцарский нож для гиков и пентестеров.


Следите за процессом разработки и новостями о Flipper Zero в:
Instagram
Facebook
Англоязычном блоге",Flipper Devices Inc.
13,5000,https://www.englishdom.com,892,2010-01-01,"EnglishDom – онлайн школа английского языка, один из лидеров EdTech в Восточной Европе. EnglishDom вдохновляет выучить английский за счет инновационных технологий, погружения в языковую среду и человеческой заботы. В компании работает международная команда из 400 сотрудников, в их числе 300+ преподавателей. За 10 лет работы EnglishDom обучил более 35 000 студентов.",EnglishDom
22,10000,http://www.sber.ru/,421,1841-11-12,"",Сбер
15,5000,http://www.kaspersky.ru/,116,1997-07-21,"«Лаборатория Касперского» — крупнейшая в мире частная компания, работающая в сфере информационной безопасности, и один из наиболее быстро развивающихся вендоров защитных решений. Наша компания осуществляет свою деятельность в 200 странах и территориях мира, а наши 34 офиса открыты в 31 стране. В «Лаборатории Касперского» работает более 3000 высококвалифицированных специалистов.


Мы международная компания, обладающая масштабным видением и ориентированная на мировой рынок. Наш годовой доход в настоящее время превышает 700 миллионов долларов США (711 млн долл., согласно неаудированным данным за 2014 год).


Заняв уверенную позицию в первой четверке ведущих мировых производителей защитных решений для пользователей конечных устройств, мы продолжаем укреплять свое положение на рынке. Наша компания названа «Лидером» в категории Endpoint Protection (решения для защиты конечных устройств) по версии «Большой тройки» аналитических агентств (Gartner, IDC и Forrester).",«Лаборатория Касперского»
16,100,http://firstvds.ru/?aid=20152,510,2002-12-06,Размещаем сайты клиентов на виртуальных и выделенных серверах в дата-центрах в Москве.,FirstVDS
17,10000,http://lanit.ru/,921,1989-10-16,"Группа компаний ЛАНИТ


ЛАНИТ – «ЛАборатория Новых Информационных Технологий» – ведущая в России и СНГ многопрофильная группа ИT-компаний. Создана в 1989 году.


Занимает лидирующие позиции в различных сегментах рынка (системная интеграция, дистрибуция, консалтинг, инженерные системы, ИT-аутсорсинг, сервис, обучение). Является крупнейшим российским системным интегратором и ведущим партнером более 250 основных мировых производителей оборудования и программных решений в области высоких технологий. 


Численность сотрудников – 11 800 человек. Консолидированный оборот группы компаний ЛАНИТ в 2019 году составил 173,8 млрд руб. с НДС (рост 5,8%). 


Занимает лидирующие позиции в рейтингах крупнейших российских ИT-компаний и консалтинговых компаний (RAEX). По данным исследования «Competitive Profiles and Analysis of Leading IT Services Players in Russia, 2018» международной компании IDC, ЛАНИТ – №1 в сфере ИТ-услуг в России.",ГК ЛАНИТ
18,10000,https://www.tinkoff.ru/career/,486,2005-11-18,"В Тинькофф мы создаем финтех-сервисы для 15 млн клиентов.


Экосистема Тинькофф — это инвестиции, путешествия, обслуживание бизнеса, страхование, мобильный оператор, развлечения, образование, внутренние сервисы и проекты.


Здесь мы активно делимся знаниями: 


• публикуем статьи о разработке, тестировании, продуктовых процессах

• рассказываем о прошедших конференциях и митапах


Наши лучшие материалы мы публикуем здесь.",TINKOFF
19,50,https://pvs-studio.com/,140,2008-01-01,"Мы разрабатываем, продвигаем и продаем статический анализатор C, C++, C# и Java кода PVS-Studio.


Это инструмент для программистов, который экономит деньги компаний за счет раннего обнаружения программных ошибок путем анализа исходного кода. 

Наша миссия — повышение качества программ. Наша задача — не найти какие-то ошибки, а повысить качество и уровень разработки программного обеспечения. Мы продаём миру идею использования статического анализа кода в целом. Использование методологии статического анализа экономит время при разработке, делает программистов более ответственными, дополнительно контролирует новичков и экономит деньги и нервы конечных пользователей программ. И мы должны донести весть о статическом анализе всему миру. Доносим мы это не абстрактно, а конкретно, предлагая использовать наш анализатор PVS-Studio. Мир благодарен нам за это, что находит отражение в приобретении лицензий.


В статьях и выступлениях на конференциях мы НЕ рекламируем PVS-Studio в лоб типа «покупайте PVS-Studio и все будет хорошо». Мы говорим: «Используйте статический анализ кода и всё будет хорошо. Какой? Например, PVS-Studio.» 

Поддерживаемые языки и компиляторы

Windows. Visual Studio, C, C++, C++/CLI, C++/CX (WinRT)
Windows. MinGW C, C++
Windows/Linux. IAR Embedded Workbench, C/C++ Compiler for ARM C, C++
Windows/Linux. QNX Momentics, QCC C, C++
Windows/Linux. Keil µVision, DS-MDK, ARM Compiler 5/6 C, C++
Windows/Linux. Texas Instruments Code Composer Studio, ARM Code

Generation Tools C, C++
Windows/Linux. MPLAB XC8 C
Windows/Linux/macOS. GNU Arm Embedded Toolchain, Arm Embedded

GCC compiler, C, C++
Windows/Linux/macOS. Qt Creator, Eclipse, GCC, Clang, C, C++
Windows/Linux/macOS. IntelliJ IDEA, Android Studio, Java
Windows/Linux/macOS. Visual Studio, JetBrains Rider, C#, .NET Framework, .NET Core
",PVS-Studio
20,30,https://clck.ru/YqYJB,872,2020-02-01,"Blog about Tech Career. Рассказываем истории разработчиков, публикуем советы по улучшению резюме и как проходить собеседования, делимся «внутрянкой» HR-ов и вакансиями, которые можно подобрать в зависимости от пожеланий: по заработной плате, задачам, команде и локации.


Заходите на Headz.io и найдите идеальную вакансию. Все профили на площадке анонимны до тех пор, пока вы сами не лайкните вакансию. 

Каждый день на площадке вас ждут более 50 новых предложений с релокацией и без. Поиск работы стал проще с headz.io.",Headz.io
21,30,http://regionsoft.ru,981,2001-06-06,"17 лет разрабатываем собственную десктопную CRM-систему для бизнеса, другие решения и интеграционные проекты для бизнеса любого масштаба. За эти годы помогли автоматизировать бизнес более, чем 5000 клиентов. 


CRM-система RegionSoft CRM непрерывно развивается, и на сегодня включает возможности уровня ERP-системы: телефонию, аналитику, планирование, управление продажами, управление бизнес-процессами и многое другое. Есть несколько редакций под потребности любого бизнеса.",RegionSoft
23,200,https://www.ispsystem.ru,132,2004-02-10,"ISPsystem — российский разработчик платформ для комплексного управления ИТ-инфраструктурой. Компания создает экосистему программных продуктов для обслуживания физического оборудования, серверной виртуализации, веб-серверов и сайтов. Для хостинг-провайдеров и IaaS-проектов предлагает биллинговую платформу и программу реселлинга своего ПО. 

С 2004 года продукты ISPsystem успешно эксплуатируются на сотнях тысяч серверов по всему миру, работают в организациях государственного сектора и органах власти, промышленных и производственных корпорациях, дата-центрах, предприятиях из сферы ритейла, логистики и в многих других. В 2016 году ПО ISPsystem было включено в единый реестр российских программ для электронных вычислительных машин и баз данных.",ISPsystem
24,0,https://www.globalsign.com/ru-ru/,477,1996-01-01,"Удостоверяющий центр GlobalSign – мировой лидер в области сетевых и облачных PKI-решений по управлению идентификацией и доступом.

Цифровые сертификаты безопасности, такие как SSL- сертификаты, сертификаты подписи кода, многофункциональные цифровые подписи обеспечивают нашим клиентам безопасные рабочие процессы, необходимые для проведения транзакций, реализации электронного документооборота, проверки подлинности пользователей, устройств, электронных активов и т. д.

Среди наших клиентов множество компаний из списка Fortune 100, частных и государственных организаций, крупных предприятий, хостинговых компаний, разработчиков и инноваторов в сфере интернета вещей (IoT). 

В настоящее время GlobalSign является частью GMO CLOUD K.K., Япония. Представительства компании расположены в США, Европе и Азии. 


GlobalSign – единственный удостоверяющий центр, который имеет официальное представительство на территории Российской Федерации. Мы предлагаем высший уровень сервиса, русскоязычную поддержку и другие преимущества.


Для получения дополнительной информации посетите сайт www.globalsign.com или свяжитесь с нами по телефону: +7 (499) 678 2210.

Специальные предложение:


",GlobalSign
25,5000,http://avito.tech,203,2007-01-01,"Мы команда инженеров Авито. В блоге рассказываем о технологиях и инструментах компании, своём опенсорсе, митапах в нашем офисе и конференциях, на которых выступаем.


У нас больше тысячи микросервисов на Python и Go, фронтенд на JavaScript, базы данных PostgreSQL, MongoDB и Redis, автоматические тесты, обученная на данных система модерации и поисковый движок Sphinx. 


В Авито уже 800 инженеров. Мы работаем в небольших кросс-функциональных командах, каждая из которых отвечает за конкретную часть сервиса. Нашим продуктом каждый месяц пользуются десятки миллионов человек, поэтому мы умеем работать с большими нагрузками. 


Подписывайтесь на блог, задавайте нам вопросы и делитесь опытом в комментариях.",Авито
